브랜드,상품명,가격,리뷰수,상품평점,닉네임,리뷰,별점,날짜,맞춤정보,선택옵션,한줄평,스타일최고,구매욕상승,궁금증해소
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,비빙바,여행갈 때 코트 안에 입을 후드집업 급하게 찾다가 직진배송 되는 걸로 샀어요! 기대 안 했어서 그런지 엄청 맘에 들었고 기모도 적당히 얇아서 사계절 입으려면 기모 있는 거 구매하시는 걸 추천드려요 퀄리티는 가격값하는 것 같아요 엄청 좋진 않은데 나쁘지도 않고 적당합니다,5,23.01.28,156cm·56kg·상의 44,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,0j**,"기모선택했지만 얇아요! 가지고 있는 다른 기모후드들 평균 두께의 절반?정도로 얇아요
올린사진 지퍼쪽이랑 모자쪽 보면 빳빳하지않고 우그러진 모양이 얇은거 느껴지실거에요
근데 입어보니까 얇지만 벨벳느낌이랄까 그래서 착붙 따뜻 그런느낌이네요
나름 가성비 만족해용!!
색상도 반티맞춘거같은 소라일까봐 걱정돼서 고민많이했는데 이뻐요 오트밀색 흰색이랑 찰떡이에여",4,23.01.27,158cm·54kg·상의 55,(기모)소라FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,jo**,봄 가을에도 입으려고 일반 버전 구매하려다 얇다는 말에 기모 버전 구매했는데 기모가 엄청 얇게 깔려 있어서 일반 후드집업 두께랑 비슷한 거 같아요 봄 가을까지 충분히 입을듯 합니다 두께며 지퍼 퀄리티며 딱 가격 정도의 퀄리티인데 나름 저렴하게 잘 산 거 같아요!,4,23.01.25,160cm·49kg·상의 44,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,al**,"요거 제가 기모 있는 줄도 모르고 그냥 주문했다가 배송 전에 문의 드려서 기모로 바꿔서 입었어요 ! 
투웨이 후드 기모인데도 엄청 얇아여 ! 하지만 보온성이 엄청나서 나시 안에 입고 이거입고 패딩이나 얇은 옷 입고 다녀도 금방 더워집니당,,,, 그리고 요 친구 엄청 짧으니깐 바지를 좀 더 올려입거나 해야항거 같아여 그리고 되게 애매한 핏이니깐 입을때 하의를 허리 잡아주는걸로 입는거 추천드릴게여 !",5,23.01.20,,메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,1,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,rh**,"기모가 생각보다 훨씬 얇지만, 두꺼우면 하나도 안예쁠 것 같긴 해요. 기장이 크롭이라기엔 애매하긴 하지만 그래도 핏이 예쁘네요. 봄철에 아주 잘 입을 것 같아요! 기모도 얇고 핏 때문에 안에 얇은 티만 입을 수 있어서 겨울에는 못 입을 것 같아요.",4,23.01.19,164cm·54kg·상의 55,메란지(기모)FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,sk**,"완전 부들부들하고 퀄 괜찮은 후드집업 ! 기모 추가 1000원이니까 무조건 기모추가 하시길 ,, 요즘 아우터가 다 짧아져서 후드집업도 크롭이 필요하더라구용 ,, 그래서 주문했는데 짱 만족입니당 !",5,23.01.10,,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,3,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,mi**,"검정색 옷을 입으면 흰색 기모들이 다닥 다닥 붙어있어요:)… 그래도 보드랍고 따땃하니 레이어드해서 잘 입고 있습니다. 기모 없는건 품절이라 기모있는걸루 주문했는데 운동할때 입기엔 조금 덥네용!
크롭 투웨이 짱 입쁘다",4,23.01.07,165cm·60kg·상의 66,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,wl**,"기본은 너무 얇다는 리뷰 보고 기모있는 걸로 샀는데 완전 마음에 쏙 들어요! 간단하게 입기도 좋은 거 같고 대충 코디해도 찰떡일 거 같은 느낌? 완전 마음에 들고 다른 색으로도 하나 살까 고민중이에요!! 그리고 은근 펑퍼짐한 느낌이 들면서 핏은 또 잘 잡아져 있어서 은근 매력 포인트인 거 같기도 하구, 막 입기도 괜찮은 느낌이 드네용",5,23.01.04,,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,tn**,와진짜.. 진짜 이쁨.. 소매 시보리 짱짱하고 적당히 아방한데 너무 안두툼해서 날씬해보여요ㅠㅠ 기모사놓고도 너무 두툼해서 상체 그냥 덩어리되는거아닌가 걱정했는데 진짜 몸 따라 자연스럽게 흘러내리는게 핏이 너무 이쁨 그렇다고해서 별로 안따신 그런 느낌도 아니고 그냥 이뻐요 진짜 색별로 다사고싶음..길이는 딱 골반 튀어나온 뼈까지 적당하게 옵니다..,5,22.12.31,157cm·52kg·상의 55,(기모)블랙FREE,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,db**,보들보들하고 핏도 예쁘고 넘 맘에 들어요! 편해서 진짜 거의 교복마냥 자주 입고 솔직히 맨날 입고싶은 걸 참고 있습니다 고민하는게 아까울지경~!~!~!! 기장은 크롭인데 많이 크롭은 아니라서 부담스럽지 않아요,5,22.12.29,159cm·47kg·상의 55,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
